Tanggal;Username;Clean Dataset
2022-02-11 04:39:39+00:00;YokoSetyoso;ilham habibie usul nama ikn nusakarta gimana turut loe guys
2022-02-11 03:50:16+00:00;ardinitiara9;siap sambut ikn baru presiden joko widodo putus nama ibu kota nusantara prokes jangan kendor
2022-02-11 01:03:16+00:00;DedySet19424526;pansos iknmemulihkan nama baik mungkingara gara istri wkwkwkw
2022-02-10 15:47:07+00:00;Babamovic;loh ngomong nama ahli kang bagai arsitek baru urus rencana bangun istana anggar sudah tidak masuk akal hayo kawal ikn supaya tidak jadi bancak tikus das anggar dapat belanja negara nya
2022-02-10 08:26:02+00:00;GATRA_com;ilham habibie usul nama ikn
2022-02-10 07:14:14+00:00;karosatuklik;jakarta ancam tenggelam ilham habibie tuju pindah ikn usul nama nusakarta
2022-02-10 07:12:05+00:00;madbudiharto;nama ikn iku gantung developer lippo nusakarta ikut meikarta ciputra nusa raya nusa citra jaya properti graha nusa nusa jaya bsd nusa city
2022-02-10 05:26:06+00:00;heraldindo;tuju ikn pindah karena jakarta sudah tenggelam anak habibie usul nama nusakarta
2022-02-10 05:23:50+00:00;estananto;tuju pindah ikn ilham habibie usul nama nusakarta
2022-02-09 14:00:29+00:00;IshM73;simak lama arah mana nama ikn jadi nusantara sudah prediksi lama
2022-02-09 11:20:47+00:00;BaskoroAbim4nu;pindah ikn bukan gagah gagah lho karena tanpa nama jokowi sudah harum bagai orang tidak kalah milu
2022-02-09 11:04:16+00:00;idahceris;eh sudah nama ibu kota negara baru nusantara sudah tau ya tweet semat hastag iknbarunusantara belakang ada kata nusantara rupa nama ikn baru indonesia
2022-02-09 10:09:52+00:00;TinaSindy;selamat sore tweps santai sore bahas nama ibu kota negara ikn baru indonesia sesuai pilih presiden jokowi yuk tweps iknbarunusantara a tread
2022-02-09 06:34:23+00:00;bambaeeeng;butuh tidak tidak ada peduli letak bodoh tetep bangun publik tidak butuh tidak peduli butuh publik tetep bangun jadi butuh cm milik proyek pola bodoh nama bangun level ikn
2022-02-09 06:25:27+00:00;Andi_ZaKi;tidak tutup ada represifitas wilayah calon ikn baru hukum ala kuasa tertawa lebar sudah mulus omnishitlaw bebas buat hendak apa nama bangun maju investasi
2022-02-09 05:56:46+00:00;KPMB_MKS;halo sobat manuntung sudah tau belum ibu kota baru indonesia rapat panitia khusus rancang undang nama lokasi ibukota negara satu republik indonesia tetap loh let s slide left to know more about it salammanuntung ikn
2022-02-09 02:41:12+00:00;Aleparlente2;harga pindah ikn baru harga taruh nama harga jabat kuasa kalau tidak ada tidak
2022-02-09 00:35:56+00:00;CHONANKMANNA;ikn angkat nama indonesia
2022-02-08 13:27:11+00:00;FaharuddinBaub3;paru orang lumpur kotor alas ikn baru nama konstitusi hai dukung bapak jokowi gugat gugat ikn baru pdiperjuangan
2022-02-08 13:17:35+00:00;Fadlipenyair;cukup dengar nama sang kakak sj tidak kait kait usaha orang bs spekulasi kalau ngak orang spekulasi ya lbih jangan ada usaha dagang bisnis ikn logika aman
2022-02-08 07:04:48+00:00;Apiau_;catut nama rakyat indonesia kah ada atur atur tidak men catut nama rakyat indonesia tipu atas nama rakyat indonesia sngat tuju ikn haha
2022-02-08 05:45:41+00:00;Ranisor;forum adat dayak meyatakan dukung tetap nama nusantara bagai nama ibukotanegara masuk masyarakat adat dukung bangun ikn baru kalimantan semangatnusantara gaspol infrastruktur
2022-02-08 04:04:14+00:00;aa_angon2;kawan putar geng embel embel nama rakyat takut ikn pindah kaltim
2022-02-08 03:37:50+00:00;Jonbonjoni2;nama dedy sitorus provokator ikn
2022-02-07 21:30:00+00:00;holopiscom;kepala badan intelijen negara bin jenderal polisi purn budi gunawan hadir ibu kota negara ikn baru beri nama nusantara jadi lokomotif baru transformasi indonesia iknnusantara
2022-02-07 19:48:22+00:00;soesintho007;pindah ikn republik indonesia kalimantan nama nusantara bangsa indonesia harap rakyat kalimantan tampil bagai kesatria selamat negara satu republik indonesia tahan ikn nusantara
2022-02-07 16:18:01+00:00;BennyHarmanID;khabar intelektual muka negeri tolak proyek pindah ibu kota negara ikn khabar beri nama petisi karena gagas teken orang referendum plebisit rakyat tuju tidak pindah ikn liberte
2022-02-07 15:57:18+00:00;fnksdajogja;silang sengkarut hubung nama nama milik konsesi jabat ada perintah rezim jokowi tambah sarat penting rencana mega proyek kukuh cengkraman oligarki ada proyek ibu kota negara ikn
2022-02-07 15:17:41+00:00;JAntamela;indonesia ganti nama indocina otorita ikn asai ahok
2022-02-07 13:15:29+00:00;herdihamzah;fenomena muncul nama nama calon kepala badan otorita rancang undang ikn undang tanda betapa nafsu elite politik kejar jabat insting kuasa elite politik overdosis ikn nusantara
2022-02-07 12:29:48+00:00;akoelaharjuna;nama sultan kuta kartanegara dukung penuh persen ada bangun ikn kawaljokowi
2022-02-07 11:55:40+00:00;Syapran_s;tidak ada map ikn nama jalan ya
